123
1	主楼	砖混结构	1910	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
2	系馆	钢结构	1911	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
3	主楼	砖混结构	1912	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
4	系馆	钢结构	1913	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
5	主楼	砖混结构	1914	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
6	系馆	钢结构	1915	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
7	主楼	砖混结构	1916	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
8	系馆	钢结构	1917	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
9	主楼	砖混结构	1918	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
10	系馆	钢结构	1919	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
11	主楼	砖混结构	1920	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
12	系馆	钢结构	1921	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
13	主楼	砖混结构	1922	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
14	系馆	钢结构	1923	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
15	主楼	砖混结构	1924	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
16	系馆	钢结构	1925	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
17	主楼	砖混结构	1926	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
18	系馆	钢结构	1927	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
19	主楼	砖混结构	1928	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
20	系馆	钢结构	1929	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
21	主楼	砖混结构	1930	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
22	系馆	钢结构	1931	2	20	3	100	0.1	0.33333	0.05	8	0.0624	0.182377	8	0.5	-0.01	1.5	1	0.2	0.6	0.004	0.0069	0.0157	0.04
